WardName,WardCode,LookUp_BoroughName,population,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204
Abbey,E05014053,Barking and Dagenham,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Abbey,E05014053,Barking and Dagenham,13002,9,7,5,5,8,7,11,10,16,11,10,5,8,4,5,12,12,8,6,9,10,8,10,12,5,9,2,10,9,12,16,4,13,13,9,17,8,4,10,10
Abbey,E05014053,Barking and Dagenham,13002,16,21,8,11,21,12,18,14,13,15,21,12,22,10,14,16,9,16,22,17,20,9,14,10,13,14,10,15,11,10,24,16,24,14,13,12,14,15,14,13
Abbey,E05013810,Merton,10443,6,2,11,2,7,7,8,7,7,4,8,10,6,7,2,6,3,4,7,4,5,5,3,3,3,4,3,5,7,12,6,7,7,6,8,6,7,5,11,7
Abbey,E05013810,Merton,10443,13,8,14,14,9,10,14,13,9,6,17,9,9,11,11,18,10,12,14,11,11,17,14,9,14,6,20,9,11,14,17,15,16,14,15,14,14,14,16,12
Abbey Road,E05013792,Westminster,11263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbey Road,E05013792,Westminster,11263,0,2,6,3,7,4,4,8,5,2,5,2,4,2,0,0,1,2,3,4,1,5,5,1,0,3,5,1,7,4,4,1,3,9,3,4,5,1,8,1
Abbey Road,E05013792,Westminster,11263,10,6,13,7,6,8,11,11,10,11,8,14,15,12,7,9,9,7,8,15,8,5,4,6,7,4,5,4,10,7,8,11,10,14,10,25,9,9,13,8
Abbey Wood,E05014072,Greenwich,15757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbey Wood,E05014072,Greenwich,15757,8,7,13,11,11,15,13,20,15,12,12,14,14,13,11,11,15,18,23,18,9,17,17,8,14,12,16,21,17,14,15,14,15,14,17,15,20,12,22,12
Abbey Wood,E05014072,Greenwich,15757,28,32,25,33,23,22,25,29,25,36,27,35,30,25,18,29,37,38,37,23,36,41,33,29,20,12,37,26,35,29,41,36,40,39,41,24,43,32,44,21
Abingdon,E05009388,Kensington and Chelsea,10008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abingdon,E05009388,Kensington and Chelsea,10008,5,6,7,6,1,3,7,4,4,8,2,5,7,5,3,2,8,2,3,4,3,2,4,5,3,6,6,1,3,12,1,5,8,9,2,3,5,6,4,10
Abingdon,E05009388,Kensington and Chelsea,10008,15,13,7,9,5,12,18,15,13,17,18,8,15,7,3,8,10,15,10,10,12,13,14,18,7,16,12,7,13,9,12,9,13,23,18,13,12,13,19,16
Addiscombe East,E05011462,Croydon,17001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Addiscombe East,E05011462,Croydon,17001,14,4,7,12,9,6,6,6,6,5,12,5,4,4,6,5,2,5,8,9,4,7,6,6,5,8,6,11,12,11,7,5,11,9,5,11,2,2,13,12
Addiscombe East,E05011462,Croydon,17001,9,9,6,15,13,13,15,10,13,9,11,6,19,12,8,13,13,25,9,16,18,18,10,12,14,13,14,10,13,15,10,19,16,32,21,23,12,21,16,14
Addiscombe West,E05011463,Croydon,17001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiscombe West,E05011463,Croydon,17001,11,7,13,6,10,12,10,6,9,7,11,5,11,8,8,9,8,7,6,10,5,6,3,14,4,9,10,10,6,14,14,6,14,16,11,12,6,7,6,8
Addiscombe West,E05011463,Croydon,17001,19,14,17,11,23,15,23,13,20,9,20,13,13,16,9,19,23,18,22,18,18,24,25,24,20,22,32,26,22,30,24,9,16,25,21,23,21,13,24,26
Addison,E05013733,Hammersmith and Fulham,11509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison,E05013733,Hammersmith and Fulham,11509,7,6,7,15,7,9,11,3,11,6,12,5,4,5,6,8,8,11,7,6,7,7,8,5,8,8,8,4,7,10,10,5,13,8,11,2,9,8,5,5
Addison,E05013733,Hammersmith and Fulham,11509,16,10,13,20,26,12,25,19,20,19,12,17,11,12,8,15,17,21,23,18,25,15,11,10,22,6,16,14,10,23,17,12,14,16,13,19,16,21,18,12
Aldborough,E05011234,Redbridge,14672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Aldborough,E05011234,Redbridge,14672,8,7,8,6,14,9,8,7,7,13,8,4,7,8,3,9,7,7,9,7,8,3,11,15,3,5,9,8,10,9,8,5,8,13,8,9,7,8,12,3
Aldborough,E05011234,Redbridge,14672,16,18,15,17,15,20,16,11,20,18,17,13,10,11,9,12,20,25,22,21,19,11,10,15,9,12,21,12,25,11,18,14,11,20,20,16,17,17,26,11
Alexandra,E05013928,Kingston upon Thames,9263,3,0,2,2,1,4,0,3,1,2,2,1,3,4,2,2,4,1,5,2,4,2,0,2,0,1,1,2,1,1,2,3,3,2,0,4,2,1,3,0
Alexandra,E05013928,Kingston upon Thames,9263,3,3,6,4,3,3,2,3,1,2,4,4,1,5,1,5,1,4,7,6,2,5,5,3,4,5,4,6,9,3,4,6,5,6,1,1,7,5,4,4
Alexandra Park,E05013585,Haringey,,2,1,2,5,6,2,9,5,0,2,6,8,3,3,4,2,8,4,3,3,4,2,3,0,4,3,0,6,5,3,5,5,3,2,1,2,7,4,3,4
Alexandra Park,E05013585,Haringey,,8,13,6,4,4,5,6,5,6,2,8,14,7,5,4,3,8,6,5,8,8,10,7,10,5,7,13,9,7,15,8,6,8,8,6,5,9,12,3,2
Alibon,E05014054,Barking and Dagenham,10462,7,11,11,12,9,5,8,4,2,8,9,3,6,3,10,4,5,13,5,12,8,1,6,6,4,4,1,4,11,11,5,4,8,7,8,10,11,4,10,9
Alibon,E05014054,Barking and Dagenham,10462,14,16,17,8,9,14,25,18,12,12,11,21,12,15,14,9,7,10,30,20,18,16,12,4,18,8,9,15,21,18,32,17,22,17,24,16,15,17,16,21
Alperton,E05013496,Brent,14085,10,8,6,11,9,13,4,20,8,8,10,10,3,5,5,11,2,15,4,7,14,8,8,8,10,7,8,5,7,10,10,9,9,6,10,13,9,6,11,11
Alperton,E05013496,Brent,14085,9,17,12,16,22,18,20,20,15,23,14,20,19,19,16,18,16,19,15,27,25,29,18,25,14,24,16,18,22,17,12,24,20,9,25,19,13,10,19,31
Arnos Grove,E05013672,Enfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnos Grove,E05013672,Enfield,,4,0,5,5,1,3,1,3,5,1,4,2,2,4,4,4,3,7,0,8,3,4,5,2,5,3,3,5,3,2,0,2,6,1,4,3,3,7,3,5
Arnos Grove,E05013672,Enfield,,7,7,6,3,4,11,8,8,9,5,8,5,7,3,7,10,9,9,5,6,16,9,7,9,6,5,5,11,13,10,5,10,6,6,8,12,3,2,15,8
Arsenal,E05013697,Islington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,E05013697,Islington,,9,5,8,7,11,7,6,4,9,16,7,12,18,4,7,5,6,15,4,9,7,2,6,8,7,6,6,5,8,6,9,12,9,6,7,16,6,6,7,9
Arsenal,E05013697,Islington,,14,20,16,20,13,15,11,8,15,21,15,8,18,13,17,12,12,20,18,16,30,18,10,12,19,16,20,18,24,19,22,13,14,18,29,18,13,16,19,24
Avonmore,E05013734,Hammersmith and Fulham,12252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avonmore,E05013734,Hammersmith and Fulham,12252,4,1,5,3,8,3,3,2,2,7,7,2,9,5,4,3,4,3,5,8,3,3,1,2,4,8,4,5,3,6,6,4,3,4,2,4,2,6,5,1
Avonmore,E05013734,Hammersmith and Fulham,12252,6,5,8,7,14,8,10,13,14,6,7,10,14,11,9,12,4,10,15,15,16,10,6,6,8,14,8,8,13,10,9,7,11,5,14,3,8,7,8,7
Balham,E05014009,Wandsworth,14831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balham,E05014009,Wandsworth,14831,6,10,15,6,12,9,5,8,4,9,9,5,13,8,4,9,8,7,12,11,7,12,7,5,4,7,8,10,15,13,5,9,10,10,5,5,7,8,8,2
Balham,E05014009,Wandsworth,14831,19,15,19,12,18,22,13,7,19,14,15,19,13,16,13,21,14,16,25,15,12,28,16,22,15,18,19,22,10,11,16,15,18,17,19,6,14,14,18,10
Barking Riverside,E05014055,Barking and Dagenham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Riverside,E05014055,Barking and Dagenham,,10,3,5,7,8,6,5,12,14,6,3,10,8,5,9,6,5,5,9,2,10,3,5,9,5,8,7,4,5,9,10,5,9,11,9,8,3,2,4,9
Barking Riverside,E05014055,Barking and Dagenham,,7,14,13,6,16,10,11,11,14,21,15,7,9,18,5,16,17,17,18,15,18,17,22,15,17,13,27,18,13,16,17,9,15,17,13,13,21,17,16,15
Barkingside,E05011235,Redbridge,12675,8,10,10,3,7,4,2,6,9,5,5,7,6,5,5,8,2,5,5,9,6,3,8,1,6,1,2,4,9,5,4,7,12,9,9,7,3,4,7,8
Barkingside,E05011235,Redbridge,12675,12,15,8,8,13,12,13,16,17,13,13,11,16,14,6,9,13,17,18,6,11,16,18,7,12,14,21,8,17,22,14,13,12,20,21,16,9,24,19,23
Barnehurst,E05011217,Bexley,10442,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnehurst,E05011217,Bexley,10442,8,3,11,12,5,5,5,2,9,6,6,6,3,4,7,2,3,6,3,8,6,4,2,3,3,1,1,8,3,3,4,5,6,3,2,5,6,3,8,4
Barnehurst,E05011217,Bexley,10442,10,5,19,15,18,23,7,11,10,8,10,13,8,11,6,8,10,11,10,14,5,15,11,10,9,10,11,16,9,5,15,12,14,10,8,6,12,8,9,18
Barnes,E05013774,Richmond upon Thames,10313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,E05013774,Richmond upon Thames,10313,4,2,4,1,8,2,7,1,2,2,2,5,4,2,6,4,5,1,5,2,1,3,3,3,2,2,1,2,6,7,1,2,1,2,4,3,2,2,2,1
Barnes,E05013774,Richmond upon Thames,10313,7,4,11,12,10,15,7,4,12,8,4,9,6,1,5,12,14,5,6,6,5,7,14,7,7,7,10,6,6,5,4,9,10,2,5,5,9,7,8,11
Barnet Vale,E05013628,Barnet,,4,10,9,7,8,6,7,5,4,5,7,6,7,3,10,4,2,6,11,8,10,4,9,2,9,8,9,10,5,2,8,4,9,7,3,7,6,7,4,3
Barnet Vale,E05013628,Barnet,,19,17,17,16,17,11,24,15,14,12,29,16,18,7,10,7,16,21,15,21,20,16,23,15,19,22,18,26,23,8,14,19,33,16,11,18,17,20,20,12
Barnhill,E05013497,Brent,15806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnhill,E05013497,Brent,15806,8,10,6,1,13,10,9,10,12,9,6,10,11,5,3,7,3,8,10,7,10,3,10,6,14,7,6,10,8,7,9,10,9,8,7,11,8,9,9,6
Barnhill,E05013497,Brent,15806,12,15,19,14,21,16,23,23,19,12,16,15,9,10,18,21,18,16,16,17,15,18,25,18,15,15,11,21,15,15,18,25,13,20,20,20,13,21,15,24
Barnsbury,E05013698,Islington,12214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnsbury,E05013698,Islington,12214,3,8,9,12,10,20,18,18,8,14,11,15,7,8,14,9,6,8,7,12,7,6,9,7,9,5,13,9,9,11,10,14,14,13,11,9,9,7,13,12
